word,pos,definition
escalator,noun,moving staircase for carrying people up or down
escapee,,
escapism,,
Eskimo,,
especial,,
Esperanto,,
essayist,,
essentially,,
established,,
estancia,,
esthetics,,
estimation,,
et al.,,
etch,verb,"cut lines into a piece of glass, metal, etc in order to make words or a picture"
eternity,noun,"Eternity is defined as, or seems like, an endless amount of time."
ethanol,,
ethnocentric,,
ethnographer,,
ethnology,,
ethology,,
eucalyptus,noun,"tall evergreen tree from which an oil, used as medicine, is obtained"
eugenic,,
euphemistic,,
euro,noun,(since 1999) unit of money of many countries of the European Union
Europe,,
European,adjective,of or connected with Europe
,noun,economic and political organization that many European countries belong to
evacuate,verb,move people from a place of danger to a safer place
evacuation,,
evangelical,adjective,of a Christian group that emphasizes salvation by belief in Christ
evaporation,noun,Evaporation is defined as the process of a liquid changing into a gas.
even,adjective,The definition of even is level or fair or divisible by two.
,verb,To even something is defined as to make it equal or to make it level or smooth.
even-tempered,adjective,"The definition of even tempered is someone who is not quickly angered or prone to mood swings or wild emotion; but, who instead remains calm."
evenhanded,,
evenly,,
eventful,,
eventual,adjective,happening at the end of a period of time or of a process
eventuality,,
everlasting,adjective,lasting for ever
everywhere,,
eviction,,
evidently,,
evocation,,
evolutionary,,
ewer,,
exaggerated,,
exaggeration,,
exalted,,
examinee,,
examiner,,
excavation,,
exceedingly,,
Excellency,noun,"title of some officials, eg ambassadors or governors"
except,conjunction,"Except is defined as something said when one action depends on another action, or to show a variation in action."
,verb,To except is defined as to leave out or take out one when you include everything else.
exchange rate,,
exchangeable,,
exchequer,noun,Exchequer is defined as a royal or national treasury or is defined as the account into which tax funds and other public funds are deposited.
excitable,,
excited,adjective,The definition of excited is someone or something that has enthusiasm or is emotionally aroused.
,verb,"Excited is defined as making someone feel emotions, or having an increased activity level."
exclamatory,adjective,The definition of exclamatory is a cry or remark that is sudden or strong and expresses an emotion.
excluding,,
exclusively,,
excusable,,
executioner,,
exemption,noun,"Exemption is defined as freedom from an obligation, duty or consequence."
exhalation,,
exhale,verb,"breathe out the air, smoke, etc in your lungs"
exhausting,,
exhibitor,,
exiguous,,
existent,,
existentialist,,
existing,,
exogamy,,
exorcise,,
expansionist,,
expectancy,,
expectant,,
experimental,,
experimentally,,
experimentation,,
expiration,,
expiry,,
explicable,,
exploratory,,
explosive,adjective,(substance) that can explode
exportation,,
exporter,,
expostulation,,
expressionism,,
expressway,,
expropriate,verb,(of a government) take away private property for public use
,verb,take sb's property and use it without permission
ext,,
extended,adjective,The definition of extended is longer or more than the usual.
externality,,
externally,,
extinguisher,,
extractor,,
extradition,,
extraordinarily,,
extravagance,,
extremely,,
extremist,adjective,(a person) holding extreme
extrude,,
eye,noun,"The definition of an eye is the organ that gives sight in humans and animals, or the iris."
,verb,To eye is defined as to look at or observe.
eyeball,,
eyebrow,,
eyeglass,,
eyelash,,
eyelid,,
eyesight,,
eyesore,,
eyewash,,
eyewitness,,
façade,noun,The definition of a facade is the front of a building facing a public space or an artificial front or appearance by someone.
fact,noun,The definition of a fact is something that is true or something that has occurred or has been proven correct.
factional,,
factitious,,
Fahrenheit,adjective,The definition of Fahrenheit is a temperature scale with 32 degrees as the freezing point of water and 212 degrees as the boiling point of water.
failing,noun,fault or weakness in sb/sth
,preposition,used to make a suggestion that could be considered if the one mentioned first is not possible
fainthearted,,
faire,,
fairground,,
fairyland,,
faithfully,,
falcon,noun,small bird that can be trained to hunt and kill other birds and animals
fall,noun,The definition of a fall is an often unexpected drop or descent or the season that comes after summer and before winter.
,verb,"Fall is defined as to drop or come down, often unexpectedly."
fallen,,
fallibility,,
falsetto,,
falsify,verb,"alter a document, etc so it is false"
falsity,noun,state of not being true or genuine
famed,,
familial,,
familiarise,,
family,noun,"Family is defined as a specific group of people that may be made up of partners, children, parents, aunts, uncles, cousins and grandparents."
,noun,The definition of family is the group of people who share common ancestors.
,noun,Family means a group of things that are similar.
fanatical,,
fancied,,
fancier,,
fanfare,noun,"Fanfare is defined as a loud and flashy display, or a short and dramatic trumpet flourish."
fang,noun,long sharp tooth
fantasise,,
faraway,,
farmhand,,
farmland,,
farmyard,,
farsighted,,
farther,adjective,The definition of farther is something described as having a greater physical distance. The distance would have been measured.
,adverb,"Farther is defined as a greater physical distance, a distance that has been measured."
farthest,adjective,"The definition of farthest is something that is a longer, measurable physical distance."
fascinating,,
fatalism,noun,belief that events are controlled by fate
fatality,noun,death caused by accident or violence
,noun,fact that a particular disease will end in death
,noun,belief that we have no control over what happens to us
fatally,,
fatherland,,
fatherly,,
fatten,verb,"become or make sb/sth fatter, esp an animal before killing it for food"
fatty,adjective,containing a lot of fat; consisting of fat
,noun,fat person
favored,,
favorite,noun,The definition of a favorite is a person or thing that is best liked or treated in a special way.
favour,noun,The definition of favour is approval or doing something for someone else.
,verb,Favour is defined as to treat with an unfair preference.
favourable,,
favouritism,,
fbi,,
fearsome,,
feasibility,noun,Feasibility is defined as the state of something being possible or suitable.
featherbrained,,
feb.,,
February,noun,February means the second month of the year.
fecundity,,
fed,abbreviation,Fed is a shortened form of Federal and is defined as a U.S. federal agent.
,verb,Fed is defined as to have given someone food in the past.
fed up.,,
federalist,,
federate,,
feebleminded,,
feeder,,
feelingly,,
feet,noun,Feet is defined as the part of the body that touches the ground or multiples of 12 inches.
femininity,,
feminist,,
fen,noun,area of low flat wet land
fender,,
fern,noun,plant with feathery green leaves and no flowers
fertility,,
fertilization,,
fertilize,verb,make sb/sth fertile
fertilizer,,
fervour,noun,very strong feeling; enthusiasm
festivity,noun,happy celebration
fetching,,
few,adjective,The definition of few is a small number of something.
,pronoun,Few is defined as not many.
fiat,noun,"The definition of a fiat is an order or decree, or any arbitrary order."
fibre,noun,part of food that helps to keep a person healthy by keeping the bowels working
,noun,"material, eg rope, formed from a mass of fibres"
,noun,one of the many thin threads that form body tissue and other natural materials
,noun,person's character
,noun,"material made from glass fibres, used for making boats, etc"
,noun,"use of thin fibres of glass, etc to send information in the form of light signals"
fibreglass,,
fibrous,,
fictional,,
fictionalize,,
fictive,,
fiddly,,
fieldwork,,
fiendish,,
fifteen,number,15
fifteenth,,
fifth,noun,5th; ; each of five equal parts of sth
fiftieth,,
fifty,number,50
,noun,"numbers, years or temperatures from 50 to 59"
,adverb,shared equally between two
fig,noun,(tree with a) soft sweet fruit full of small seeds
fighter,,
figurehead,,
figurine,,
filet,,
filling,,
filmmaker,,
finale,noun,last part of a piece of music or drama
